1,Mish,0.0072868043140276,3,4,4,0,4,4,3,SGD,1.0,True,4,2.8371297226768263e-05,142,80.87999997314454,0.9705220568670744,18414.08756017685,0.569514,0.02455,44.47,63.06800000244141
2,ReLU,0.0775918342247204,3,4,3,0,3,3,4,SGD,1.0,False,4,3.062135369134168e-05,86,41.45999999755859,1.072423801486523,14007.70621061325,0.569514,0.023374,70.53,49.32799999145508
3,Hardswish,0.2981765767304314,3,4,4,2,1,1,3,SGD,1.0,False,4,0.0083218936231792,28,46.65599999511719,0.3756724980308896,40860.82006645203,3.371178,0.023374,47.76,44.6880000012207
4,Mish,0.6933541938874895,3,0,0,1,3,3,3,SGD,1.0,False,4,0.0054177437209734,22,17.467999998779298,0.3754012842532253,21383.69397068024,2.338986,0.01531,34.88,17.77999999572754
5,Hardswish,0.0334437042807268,3,0,3,1,1,4,3,SGD,1.0,False,4,0.0071392738826667,94,75.368,0.5659255809217427,1320.7369453907013,0.569514,0.023374,53.0,50.00800000366211
6,ReLU,0.0097176792011626,3,4,4,1,2,1,1,SGD,1.0,True,4,0.0002572521938518,15,43.54399999755859,1.4229224802088918,17553.183802843094,3.223722,0.023374,36.32,44.896
7,ReLU,0.0072868043140276,3,3,0,1,3,4,1,SGD,1.0,False,4,2.8371297226768263e-05,136,26.08,0.2947978089306806,17035.56148123741,2.338986,0.01531,60.44,73.04400000244141
8,ReLU,0.0775918342247204,3,3,0,1,2,1,3,SGD,1.0,True,4,0.0071392738826667,6,82.3079999975586,0.2144763790513557,26584.10969114304,3.371178,0.023374,47.56,18.179999999389647
9,Hardswish,0.1583513723757393,3,4,4,4,4,4,4,SGD,1.0,True,4,0.0083218936231792,139,34.01999999572754,0.3454111616467673,11588.3665933609,0.569514,0.004894,56.85,51.73999999389648
10,Mish,0.0775918342247204,3,4,4,1,4,2,2,SGD,1.0,False,4,0.0030684750093303,3,33.55600000732422,0.5659367673337927,20972.951731204987,0.569514,0.017662,50.39,29.239999998168944
11,Hardswish,0.0775918342247204,3,2,0,1,1,2,1,SGD,1.0,True,4,0.0083218936231792,88,30.712000000610352,0.213575052748786,86732.51012611389,0.864426,0.023374,44.35,62.09200000244141
12,Mish,0.1583513723757393,3,4,4,0,2,3,2,SGD,1.0,False,4,0.0054177437209734,98,27.9679999975586,0.4707663917307951,5388.302756309509,2.338986,0.023374,9.41,9.859999997558594
13,ReLU,0.0334437042807268,3,3,2,1,1,2,4,SGD,1.0,True,4,0.0083218936231792,166,37.64799998779297,0.5666860929346085,21253.47667837143,2.338986,0.02455,10.41,67.9239999975586
14,Mish,0.0090950113940177,3,0,2,2,4,2,2,SGD,1.0,False,4,0.0005397082198558,13,79.45999997070312,0.2136308519259829,7911.922103643417,0.569514,0.004894,53.17,59.43999998535156
15,ReLU,0.0072868043140276,3,0,0,0,3,2,1,SGD,1.0,True,4,0.0005397082198558,76,59.636,0.4673855105263846,20204.68744468689,2.338986,0.01531,31.58,61.41199998413086
16,Hardswish,0.1583513723757393,3,1,4,0,3,2,4,SGD,1.0,False,4,0.0001173595605467,56,29.883999993896484,0.2930887048919479,11362.781415939333,0.71697,0.004894,45.28,47.66799999633789
17,ReLU,0.0097176792011626,3,3,2,1,1,2,3,SGD,1.0,True,4,0.0002572521938518,171,23.31600000305176,0.2156756077732358,2044.261167526245,2.044074,0.004894,79.97,70.69600001220704
18,ReLU,0.0090950113940177,3,1,3,2,4,1,1,SGD,1.0,True,4,0.0030684750093303,117,74.3839999951172,1.0300001240230745,50832.952848911285,3.371178,0.02455,18.15,59.29199999389648
19,Mish,0.0249588540626726,3,2,2,0,2,0,4,SGD,1.0,True,4,0.0054177437209734,117,43.81599998901367,0.3770333286978706,11870.052223443983,3.371178,0.03379,63.14,59.29199999389648
20,Hardswish,0.0775918342247204,3,2,2,2,2,4,2,SGD,1.0,False,4,0.0001173595605467,21,76.12399999511719,0.4707184410046079,9308.647080898283,2.044074,0.023374,74.41,43.96000000976562
21,Mish,0.0097176792011626,3,3,3,0,4,1,3,SGD,1.0,False,4,3.062135369134168e-05,176,24.04800000305176,0.4636430993876287,20716.105531215668,0.569514,0.004894,79.07,53.19200000366211
22,Hardswish,0.0775918342247204,3,4,3,2,3,0,2,SGD,1.0,True,4,2.8371297226768263e-05,64,77.4960000024414,0.8449584901355561,11362.983381271362,3.223722,0.02455,38.94,64.74399997558594
23,Mish,0.0072868043140276,3,2,0,1,1,1,2,SGD,1.0,False,4,0.0002572521938518,20,39.187999992675785,0.4679409983754158,19760.939722776413,3.371178,0.03379,70.36,43.87199999389649
24,ReLU,0.2981765767304314,3,4,3,1,4,0,3,SGD,1.0,False,4,0.0002572521938518,6,19.36400000366211,0.4636799021922896,13769.817619562147,0.864426,0.004894,49.02,35.887999993896486
25,Hardswish,0.6933541938874895,3,1,0,4,2,4,3,SGD,1.0,False,4,0.0071392738826667,142,10.035999997558594,1.0540519736184586,1866.7696106433868,3.223722,0.03379,68.21,17.88
26,Mish,0.0097176792011626,3,0,3,2,3,4,1,SGD,1.0,True,4,0.0005397082198558,17,67.876,0.4711270361388258,40098.22249054909,3.223722,0.004894,31.38,46.10399998657227
27,Mish,0.0249588540626726,3,2,3,2,4,3,1,SGD,1.0,True,4,3.062135369134168e-05,111,48.35599998413086,1.0634944033405165,24307.26451396942,2.044074,0.017662,48.8,78.63199998291016
28,ReLU,0.6933541938874895,3,4,3,2,2,2,2,SGD,1.0,True,4,0.0081731396188003,191,58.08799998291016,0.4733229469299316,41879.365027189255,2.044074,0.02455,56.06,18.38799999633789
